dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B02794,2020-04-27 20:53:10,2020-04-27 20:58:10,264,76,
B00647,2020-04-06 13:32:04,2020-04-06 13:40:24,264,174,
B01340,2020-04-27 14:50:35,2020-04-27 14:59:24,264,242,
B01437,2020-04-21 13:46:59,2020-04-21 13:56:44,264,131,
B02563,2020-04-28 06:23:10,2020-04-28 06:31:40,264,198,
B01145,2020-04-16 21:41:03,2020-04-16 21:56:24,264,31,
B00937,2020-04-17 20:48:48,2020-04-17 20:56:29,264,243,
B02782,2020-04-09 05:23:00,2020-04-09 05:27:00,,,
B02794,2020-04-03 21:21:11,2020-04-03 21:25:56,264,225,
B00937,2020-04-19 10:56:43,2020-04-19 11:08:01,264,243,
B03002,2020-04-20 16:09:28,2020-04-20 16:18:54,,,
B01606,2020-04-22 13:33:18,2020-04-22 13:43:31,264,67,
B00653,2020-04-22 07:58:00,2020-04-22 08:25:00,4,159,
B00911,2020-04-09 16:48:47,2020-04-09 17:05:00,264,126,
B02532,2020-04-13 11:50:00,2020-04-13 12:07:00,,,
B01437,2020-04-30 16:55:02,2020-04-30 16:58:01,264,124,
B00692,2020-04-21 12:31:20,2020-04-21 12:37:22,264,181,
B02162,2020-04-11 14:44:43,2020-04-11 14:48:17,264,17,
B01315,2020-04-25 22:55:00,2020-04-25 23:15:01,264,3,
B00271,2020-04-21 15:43:37,2020-04-21 15:51:43,264,233,
B01339,2020-04-26 05:30:21,2020-04-26 05:40:44,,,
B02674,2020-04-27 12:58:02,2020-04-27 13:04:00,102,197,
B03160,2020-04-22 15:58:00,2020-04-22 16:48:00,76,66,
B01091,2020-04-23 00:34:12,2020-04-23 00:44:13,,,
B03062,2020-04-20 08:22:39,2020-04-20 09:00:05,,,
B01312,2020-04-01 10:41:10,2020-04-01 10:42:52,264,55,
B01145,2020-04-22 18:09:00,2020-04-22 18:21:54,264,250,
B00821,2020-04-27 17:01:18,2020-04-27 17:09:26,264,121,
B00856,2020-04-13 07:11:15,2020-04-13 07:20:26,264,85,
B02550,2020-04-13 06:51:07,2020-04-13 07:13:11,,,
B00647,2020-04-17 07:31:57,2020-04-17 07:44:44,264,168,
B01338,2020-04-29 08:46:56,2020-04-29 09:00:56,,,
B01312,2020-04-28 14:52:09,2020-04-28 15:07:05,264,76,
B02509,2020-04-17 08:45:43,2020-04-17 09:23:12,264,61,
B01536,2020-04-12 13:53:50,2020-04-12 14:16:58,264,41,
B00310,2020-04-06 11:58:46,2020-04-06 12:12:09,264,213,
B01639,2020-04-20 10:15:50,2020-04-20 10:19:02,264,244,
B01016,2020-04-27 18:23:37,2020-04-27 18:25:40,264,76,
B01340,2020-04-29 08:31:57,2020-04-29 08:39:11,264,213,
B01899,2020-04-30 13:00:36,2020-04-30 13:17:47,264,264,
B01899,2020-04-06 07:48:09,2020-04-06 08:36:05,264,264,
B01808,2020-04-12 13:00:00,2020-04-12 13:07:00,264,264,
B02550,2020-04-13 15:44:26,2020-04-13 16:14:00,,,
B02849,2020-04-20 11:13:28,2020-04-20 11:21:42,264,80,
B00160,2020-04-28 13:33:00,2020-04-28 13:37:00,264,264,
B01639,2020-04-11 19:41:58,2020-04-11 19:53:38,264,244,
B03060,2020-04-30 10:19:15,2020-04-30 10:32:59,264,55,
B01176,2020-04-17 09:08:25,2020-04-17 09:23:07,173,93,
B01312,2020-04-20 16:36:54,2020-04-20 16:39:17,264,256,
B02550,2020-04-15 14:36:47,2020-04-15 14:51:03,,,
B03156,2020-04-24 14:06:00,2020-04-24 14:09:00,,,
B02352,2020-04-08 08:53:10,2020-04-08 08:56:12,,,
B02912,2020-04-03 19:57:35,2020-04-03 20:04:16,264,243,
B02634,2020-04-04 06:43:57,2020-04-04 06:48:43,264,169,
B01445,2020-04-11 09:27:00,2020-04-11 10:00:00,227,55,
B02437,2020-04-05 21:23:36,2020-04-05 21:31:57,264,69,
