VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-04-14 19:28:59,2019-04-14 19:41:24,N,1,66,25,5,1.78,10,0,0.5,0,0,,0.3,10.8,2,1,0
2,2019-04-30 05:43:51,2019-04-30 06:00:04,N,1,74,230,1,4.41,15.5,0.5,0.5,0,0,,0.3,19.55,2,1,2.75
2,2019-04-16 10:14:32,2019-04-16 10:14:35,N,5,7,264,1,.00,10,0,0,0,0,,0,10,1,2,0
2,2019-04-02 13:39:25,2019-04-02 14:20:04,N,5,49,219,1,10.68,34.76,0,0.5,0,0,,0,35.26,1,2,0
1,2019-04-10 08:03:55,2019-04-10 08:10:49,N,1,243,243,1,.60,6,0,0.5,0,0,,0.3,6.8,1,1,0
2,2019-04-19 19:40:16,2019-04-19 20:08:16,N,5,248,242,1,4.03,7,0,0,0,0,,0,7,2,2,0
2,2019-04-18 19:24:20,2019-04-18 19:36:47,N,1,166,42,1,1.91,10,1,0.5,2.2,0,,0.3,14,1,1,0
1,2019-04-15 17:54:43,2019-04-15 18:11:42,N,1,75,168,1,3.00,13,1,0.5,2.22,0,,0.3,17.02,1,1,0
2,2019-04-11 20:18:21,2019-04-11 20:22:39,N,1,41,42,1,.71,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2019-04-18 14:45:31,2019-04-18 15:26:19,N,1,173,82,1,4.82,19,0,0.5,0,0,,0.3,19.8,2,1,0
2,2019-04-13 19:43:22,2019-04-13 19:48:35,N,1,260,226,1,.93,5.5,0,0.5,1.26,0,,0.3,7.56,1,1,0
2,2019-04-22 20:40:37,2019-04-22 21:20:20,N,1,61,179,1,8.25,32,0.5,0.5,0,0,,0.3,33.3,2,1,0
2,2019-04-08 14:41:39,2019-04-08 15:10:40,N,1,66,43,2,8.09,28,0,0.5,0.01,0,,0.3,31.56,1,1,2.75
2,2019-04-19 16:26:36,2019-04-19 16:36:07,N,1,166,42,1,1.35,8,1,0.5,0,0,,0.3,9.8,2,1,0
1,2019-04-05 17:42:50,2019-04-05 17:46:54,N,1,75,74,1,1.00,5,1,0.5,0,0,,0.3,6.8,2,1,0
2,2019-04-11 00:07:02,2019-04-11 00:19:29,N,1,75,143,1,3.50,12.5,0.5,0.5,0,0,,0.3,16.55,2,1,2.75
2,2019-04-05 18:15:48,2019-04-05 18:48:32,N,5,78,174,1,3.58,15,0,0.5,0,0,,0,15.5,1,2,0
2,2019-04-29 21:43:36,2019-04-29 21:51:50,N,1,97,49,1,1.39,7.5,0.5,0.5,1,0,,0.3,9.8,1,1,0
2,2019-04-04 10:44:33,2019-04-04 11:09:12,N,1,41,166,1,1.24,15,0,0.5,0,0,,0.3,15.8,2,1,0
1,2019-04-24 11:42:56,2019-04-24 11:45:42,N,1,75,75,1,.40,4,0,0.5,0,0,,0.3,4.8,2,1,0
2,2019-04-09 19:34:11,2019-04-09 19:53:16,N,1,244,236,1,6.03,20.5,1,0.5,0,0,,0.3,25.05,2,1,2.75
