VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
,2020-06-24 04:01:00,2020-06-24 04:38:00,,9.77,,,63,68,,45.7,0,0.5,0,0,0.3,46.5,0
,2020-06-02 11:12:39,2020-06-02 11:21:15,,.00,,,263,140,,9.7,0,0.5,0.65,0,0.3,15.65,2.5
2,2020-06-22 14:02:32,2020-06-22 14:08:42,1,.85,1,N,107,164,2,6,0,0.5,0,0,0.3,9.3,2.5
1,2020-06-04 06:54:11,2020-06-04 07:02:00,1,1.90,1,Y,4,229,2,8.5,2.5,0.5,0,0,0.3,11.8,2.5
1,2020-06-25 16:02:54,2020-06-25 16:15:13,1,1.10,1,N,41,74,1,9,0,0.5,2.45,0,0.3,12.25,0
2,2020-06-15 09:38:45,2020-06-15 09:58:23,1,7.28,1,N,75,129,1,23,0,0.5,5.98,6.12,0.3,35.9,0
2,2020-06-04 14:46:55,2020-06-04 14:47:41,1,.15,1,N,41,41,2,3,0,0.5,0,0,0.3,3.8,0
2,2020-06-06 01:05:58,2020-06-06 01:18:45,1,1.32,1,N,223,223,1,10,0.5,0.5,2.26,0,0.3,13.56,0
1,2020-06-17 12:12:21,2020-06-17 12:27:47,1,1.90,1,N,249,137,1,11.5,2.5,0.5,3.7,0,0.3,18.5,2.5
2,2020-06-17 11:48:36,2020-06-17 11:57:13,2,1.41,1,N,239,143,2,8,0,0.5,0,0,0.3,11.3,2.5
,2020-06-21 20:52:00,2020-06-21 21:03:00,,1.89,,,151,74,,9.23,0,0.5,5.38,0,0.3,15.41,0
2,2020-06-10 18:43:48,2020-06-10 18:49:04,1,1.72,1,N,186,142,1,7,1,0.5,2.26,0,0.3,13.56,2.5
1,2020-06-30 10:12:41,2020-06-30 10:20:38,1,.80,1,N,140,263,2,6.5,2.5,0.5,0,0,0.3,9.8,2.5
1,2020-06-09 11:35:23,2020-06-09 11:43:06,1,1.90,1,N,170,141,1,8,2.5,0.5,1,0,0.3,12.3,2.5
,2020-06-01 06:02:00,2020-06-01 06:22:00,,13.18,,,215,74,,34.61,0,0.5,0,6.12,0.3,41.53,0
1,2020-06-24 23:09:02,2020-06-24 23:15:45,1,1.40,1,N,239,151,1,7.5,3,0.5,3.35,0,0.3,14.65,2.5
1,2020-06-29 18:40:46,2020-06-29 18:50:32,1,2.40,1,N,151,74,2,10,1,0.5,0,0,0.3,11.8,0
2,2020-06-22 18:09:50,2020-06-22 18:27:28,1,3.62,1,N,50,262,2,14.5,1,0.5,0,0,0.3,18.8,2.5
1,2020-06-08 09:39:41,2020-06-08 09:44:49,1,1.10,1,N,161,142,1,6,2.5,0.5,1.85,0,0.3,11.15,2.5
2,2020-06-24 17:33:02,2020-06-24 17:41:09,1,1.71,1,N,161,236,2,8.5,1,0.5,0,0,0.3,12.8,2.5
1,2020-06-02 18:03:04,2020-06-02 18:06:06,1,.50,1,N,236,237,2,4,3.5,0.5,0,0,0.3,8.3,2.5
1,2020-06-01 18:58:55,2020-06-01 19:10:20,1,2.30,1,N,68,79,1,10,3.5,0.5,2.86,0,0.3,17.16,2.5
1,2020-06-05 17:54:38,2020-06-05 18:07:12,1,2.70,1,N,237,238,2,11,3.5,0.5,0,0,0.3,15.3,2.5
,2020-06-29 13:46:00,2020-06-29 14:09:00,,3.90,,,155,188,,15.75,0,0.5,0,0,0.3,16.55,0
2,2020-06-22 17:21:56,2020-06-22 17:26:04,1,.65,1,N,239,142,2,5,1,0.5,0,0,0.3,9.3,2.5
,2020-06-13 04:42:30,2020-06-13 05:04:45,,14.30,,,181,168,,37.7,0,0.5,0,6.12,0.3,44.62,0
2,2020-06-05 11:36:17,2020-06-05 11:39:59,1,.68,1,N,141,262,1,4.5,0,0.5,1.56,0,0.3,9.36,2.5
2,2020-06-28 17:45:31,2020-06-28 18:00:28,2,3.50,1,N,186,232,1,14,0,0.5,3.46,0,0.3,20.76,2.5
2,2020-06-12 07:20:19,2020-06-12 07:28:53,1,1.60,1,N,140,161,2,8,0,0.5,0,0,0.3,11.3,2.5
